,State,Name,Link,Address,Graduation Rate,SAT,AP,College Attendance,College Retention,Distance from Nearest College
0,connecticut,Avon High School,/connecticut/avon/73-Avon-High-School/,"510 West Avon Road, Avon, CT 06001",97,1196,39,90,94,15929
1,connecticut,Darien High School,/connecticut/darien/222-Darien-High-School/,"80 High School Lane, Darien, CT 06820",98,1210,28,89,95,7275
2,connecticut,Glastonbury High School,/connecticut/glastonbury/329-Glastonbury-High-School/,"330 Hubbard Street, Glastonbury, CT 06033",99,1152,33,89,93,8098
3,connecticut,Greenwich High School,/connecticut/greenwich/343-Greenwich-High-School/,"10 Hillside Road, Greenwich, CT 06830",97,1180,34,85,94,9021
4,connecticut,Joel Barlow High School,/connecticut/redding/802-Joel-Barlow-High-School/,"100 Black Rock Turnpike, Redding, CT 06896",97,1157,25,88,95,16897
5,connecticut,Simsbury High School,/connecticut/simsbury/837-Simsbury-High-School/,"34 Farms Village Road, Simsbury, CT 06070",98,1196,37,91,94,15063
6,connecticut,Trumbull High School,/connecticut/trumbull/947-Trumbull-High-School/,"72 Strobel Road, Trumbull, CT 06611",98,1131,13,90,95,13802
7,connecticut,Hall High School,/connecticut/west-hartford/1023-Hall-High-School/,"975 North Main Street, West Hartford, CT 06117",97,1181,39,86,91,4380
8,connecticut,Weston High School,/connecticut/weston/1048-Weston-High-School/,"115 School Road, Weston, CT 06883",Not available,1206,31,88,93,20421
9,connecticut,Staples High School,/connecticut/westport/1055-Staples-High-School/,"70 North Avenue, Westport, CT 06880",98,1219,35,85,96,7805
10,connecticut,Wilton High School,/connecticut/wilton/1071-Wilton-High-School/,"395 Danbury Road, Wilton, CT 06897",Not available,1197,31,88,96,23593
11,connecticut,Connecticut Ib Academy,/connecticut/east-hartford/1763-Connecticut-Ib-Academy/,"857 Forbes Street, East Hartford, CT 06118",100,1108,23,96,95,4533
12,connecticut,Fairfield Ludlowe High School,/connecticut/fairfield/1831-Fairfield-Ludlowe-High-School/,"785 Unquowa Road, Fairfield, CT 06824",98,1173,27,89,94,776
13,connecticut,Marine Science Magnet High School Of Southeastern Connecticut,/connecticut/groton/3251-Marine-Science-Magnet-High-School-Of-Southeastern-Connecticut/,"130 Shennecossett Road, Groton, CT 06340",Not available,1149,36,79,91,2548
14,connecticut,Brookfield High School,/connecticut/brookfield/158-Brookfield-High-School/,"45 Long Meadow Hill Road, Brookfield, CT 06804",96,1102,30,85,92,11391
15,connecticut,Cheshire High School,/connecticut/cheshire/175-Cheshire-High-School/,"525 South Main Street, Cheshire, CT 06410",Not available,1108,27,87,96,18239
