,State,Name,Link,Address,Graduation Rate,SAT,AP,College Attendance,College Retention
0,vermont,Essex Community Education Center Uhsd #46,/vermont/essex/6-Essex-Community-Education-Center-Uhsd-46/,"2 Educational Drive, Essex, VT 05452",90,1168,26,68,87
1,vermont,Champlain Valley Uhsd #15,/vermont/hinesburg/73-Champlain-Valley-Uhsd-15/,"396 C V U Road, Hinesburg, VT 05461",96,1177,23,79,83
2,vermont,Mt. Mansfield Usd #17,/vermont/jericho/184-Mt.-Mansfield-Usd-17/,"211 Browns Trace Road, Jericho, VT 05465",93,1204,25,67,83
3,vermont,South Burlington High School,/vermont/south-burlington/245-South-Burlington-High-School/,"550 Dorset Street, South Burlington, VT 05403",93,1185,31,80,91
4,vermont,Woodstock Senior Uhsd #4,/vermont/woodstock/332-Woodstock-Senior-Uhsd-4/,"496 West Woodstock Road, Woodstock, VT 05091",90,1128,25,69,81
5,vermont,Craftsbury Schools,/vermont/craftsbury/86-Craftsbury-Schools/,"1422 North Craftsbury Road, Craftsbury, VT 05827",100,1086,12,77,Not available
6,vermont,Middlebury Senior Uhsd #3,/vermont/middlebury/162-Middlebury-Senior-Uhsd-3/,"73 Charles Avenue, Middlebury, VT 05753",85,1169,17,61,78
7,vermont,Spaulding Uhsd #41,/vermont/barre/3-Spaulding-Uhsd-41/,"155 Ayers Street, Barre, VT 05641",85,1081,23,47,78
8,vermont,Lake Region Uhsd #24,/vermont/barton/147-Lake-Region-Uhsd-24/,"317 Lake Region Road, Barton, VT 05860",74,1094,11,53,86
9,vermont,Bellows Falls Uhsd #27,/vermont/westminster/290-Bellows-Falls-Uhsd-27/,"406 High School Rd, Westminster, VT 05158",71,1118,18,49,70
10,vermont,Vergennes Uhsd #5,/vermont/vergennes/295-Vergennes-Uhsd-5/,"50 Monkton Road, Vergennes, VT 05491",95,1054,6,57,72
11,vermont,Harwood Uhsd #19,/vermont/moretown/127-Harwood-Uhsd-19/,"458 Vermont 100, Moretown, VT 05660",90,1155,15,60,80
12,vermont,Rutland Senior High School,/vermont/rutland/229-Rutland-Senior-High-School/,"22 Stratton Road, Rutland, VT 05701",91,1084,18,61,76
13,vermont,Black River Usd #39,/vermont/ludlow/285-Black-River-Usd-39/,"43 Main Street, Ludlow, VT 05149",100,980,10,52,88
14,vermont,Green Mountain Uhsd #35,/vermont/chester/293-Green-Mountain-Uhsd-35/,"716 Vermont 103, Chester, VT 05143",87,1117,9,48,86
15,vermont,Brattleboro Senior Uhsd #6,/vermont/brattleboro/44-Brattleboro-Senior-Uhsd-6/,"131 Fairground Road, Brattleboro, VT 05301",83,1080,3,60,80
16,vermont,Burlington Senior High School,/vermont/burlington/56-Burlington-Senior-High-School/,"52 Institute Road, Burlington, VT 05408",79,1141,14,58,84
17,vermont,Danville School,/vermont/danville/87-Danville-School/,"143 Peacham Road, Danville, VT 05828",100,1083,1,Not available,81
18,vermont,U-32 High School (Uhsd #32),/vermont/montpelier/283-U-32-High-School-Uhsd-32/,"930 Gallison Hill Road, Montpelier, VT 05602",87,1167,15,58,90
19,vermont,Essex Community Education Center Uhsd #46,/vermont/essex/6-Essex-Community-Education-Center-Uhsd-46/,"2 Educational Drive, Essex, VT 05452",90,1168,26,68,87
20,vermont,Champlain Valley Uhsd #15,/vermont/hinesburg/73-Champlain-Valley-Uhsd-15/,"396 C V U Road, Hinesburg, VT 05461",96,1177,23,79,83
21,vermont,Mt. Mansfield Usd #17,/vermont/jericho/184-Mt.-Mansfield-Usd-17/,"211 Browns Trace Road, Jericho, VT 05465",93,1204,25,67,83
22,vermont,South Burlington High School,/vermont/south-burlington/245-South-Burlington-High-School/,"550 Dorset Street, South Burlington, VT 05403",93,1185,31,80,91
23,vermont,Woodstock Senior Uhsd #4,/vermont/woodstock/332-Woodstock-Senior-Uhsd-4/,"496 West Woodstock Road, Woodstock, VT 05091",90,1128,25,69,81
24,vermont,Craftsbury Schools,/vermont/craftsbury/86-Craftsbury-Schools/,"1422 North Craftsbury Road, Craftsbury, VT 05827",100,1086,12,77,Not available
25,vermont,Middlebury Senior Uhsd #3,/vermont/middlebury/162-Middlebury-Senior-Uhsd-3/,"73 Charles Avenue, Middlebury, VT 05753",85,1169,17,61,78
26,vermont,Spaulding Uhsd #41,/vermont/barre/3-Spaulding-Uhsd-41/,"155 Ayers Street, Barre, VT 05641",85,1081,23,47,78
27,vermont,Lake Region Uhsd #24,/vermont/barton/147-Lake-Region-Uhsd-24/,"317 Lake Region Road, Barton, VT 05860",74,1094,11,53,86
28,vermont,Bellows Falls Uhsd #27,/vermont/westminster/290-Bellows-Falls-Uhsd-27/,"406 High School Rd, Westminster, VT 05158",71,1118,18,49,70
29,vermont,Vergennes Uhsd #5,/vermont/vergennes/295-Vergennes-Uhsd-5/,"50 Monkton Road, Vergennes, VT 05491",95,1054,6,57,72
30,vermont,Harwood Uhsd #19,/vermont/moretown/127-Harwood-Uhsd-19/,"458 Vermont 100, Moretown, VT 05660",90,1155,15,60,80
